FID;nom_servic;no_cvq;rue;ville;cp;en_caserne;Y;X
87;Service de securité incendie Saint-Louis-du-Ha! Ha!;95;Rue Saint-Charles;Saint-Louis-du-Ha! Ha!;G0L3S0;0;-68.9817436221806;47.6702620645382
88;Service de securité incendie Saint-Honoré/St-Pierre-de-Lamy;218;Chemin Principal;Saint-Pierre-de-Lamy;G0L4B0;0;-69.0334864319533;47.783565128787
89;Service de securité incendie Saint-Honoré/St-Pierre-de-Lamy;119;Rue Principale;Saint-Honoré-de-Témiscouata;G0L3K0;0;-69.1322620747346;47.7084777534504
90;Service de securité incendie Pohénégamook;1891;Rue Principale;Pohénégamook;G0L1J0;0;-69.2817369331222;47.4872076683629
91;Service de securité incendie Pohénégamook;463;Rue Principale;Pohénégamook;G0L1J0;0;-69.1550847399895;47.4553128871174
92;Service de securité incendie Pohénégamook;1313;Rue Principale;Pohénégamook;G0L1J0;0;-69.240594000076;47.4573831578333
93;Service de securité incendie Saint-Pascal;12;Rue Bérubé;Saint-Philippe-de-Néri;G0L4A0;0;-69.8883214776368;47.4649061082267
94;Service de securité incendie Saint-Pascal;529;Rue de l'Église Nord;Sainte-Hélène-de-Kamouraska;G0L3J0;0;-69.7318838516393;47.5906858271333
95;Service de securité incendie Saint-Pascal;405;Rue Taché;Saint-Pascal;G0L3Y0;0;-69.8075005191832;47.5283625301077
96;Service de securité incendie La Pocatière; ;9e rue boul. Desrochers;La Pocatière;G0R1Z0;0;-70.0326981302269;47.3702224872226
97;Service de securité incendie La Pocatière;379;Route de l'Église;Saint-Roch-des-Aulnaies;G0R4E0;0;-70.1724511045161;47.3079650228566
98;Service de securité incendie Saint-Irénée;90;Chemin des Bains;Saint-Irénée;G0T1V0;0;-70.2072466534646;47.5669609699146
99;Service de securité incendie La Malbaie;3;Chemin Saint-Paul;La Malbaie;G5A2G7;0;-69.995984287835;47.7349411168211
100;Service de securité incendie La Malbaie;65;Boulevard Kane;La Malbaie;G5A1J7;0;-70.1543092394195;47.6477529437939
101;Service de securité incendie La Malbaie;13;Rue Principale;La Malbaie;G5A2A5;0;-70.2707343700297;47.6639789819062
102;Service de securité incendie Notre-Dame-des-Monts;15;Rue Principale;Notre-Dame-des-Monts;G0T1L0;0;-70.3777405296737;47.6668663272236
103;Service de securité incendie Saint-Aimé-des-Lacs;119;Rue Principale;Saint-Aimé-des-Lacs;G0T1S0;0;-70.3087956417487;47.6825720089514
104;Service de securité incendie Clermont;2;Rue Maisonneuve;Clermont;G4A1G6;0;-70.2255568649087;47.6945644802076
105;Service de sécurité incendie Saint-Siméon (Région 03);182;Rue Morin;Saint-Siméon;G0T1X0;0;-69.8791191376613;47.8442362888842
106;Service de securité incendie Petite-Rivière-Saint-François;25;Chemin du Versant;Petite-Rivière-Saint-François;G0A2L0;0;-70.5531132454136;47.3521096695717
