FID;CUST_ORG;BUS_CAT_CL;BUS_CAT_DS;OCCPNT_TYP;SRCDATA_ID;SRC_ID_IND;FCLTY_NM;ADDRESS;MAIL_ADD;ST_ADDRESS;LOCALITY;LATITUDE;LONGITUDE;KEYWORDS;X;Y
63;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1671;N;Kelowna Occ;350 Doyle Ave, Kelowna, BC;350 Doyle Ave, Kelowna, BC;350 Doyle Ave;Kelowna;49.8892271;-119.495182;police;-119.495197556177;49.8892331158291
64;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1690;N;Kelowna Fire Dept Hall 9;2186 Bennett Rd, Kelowna, BC;2186 Bennett Rd, Kelowna, BC;2186 Bennett Rd;Kelowna;49.9613175;-119.460151;fire;-119.46016692108;49.9613235937711
65;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1702;N;Winfield Vol Fire Dept;10575 Okanagan Centre Rd E, Lake Country, BC;10575 Okanagan Centre Rd E, Lake Country, BC;10575 Okanagan Centre Rd E;Lake Country;50.03609;-119.411037;fire;-119.411051992701;50.0360961243141
66;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1718;N;Carr's Landing Fire Dept;16625 Commonage Rd, Lake Country, BC;16625 Commonage Rd, Lake Country, BC;16625 Commonage Rd;Lake Country;50.1246078;-119.446659;fire;-119.446674348129;50.1246138659828
67;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1748;N;Lumby RCMP;2208 Shuswap Ave, Lumby, BC;2208 Shuswap Ave, Lumby, BC;2208 Shuswap Ave;Lumby;50.2507286;-118.966405;police;-118.966420289084;50.2507347845875
68;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1754;N;Stn 419 Nakusp;300 8TH AVE NW, Nakusp, BC;300 8TH AVE NW, Nakusp, BC;300 8TH AVE NW;Nakusp;50.2429763;-117.807219;ambulance;-117.807234035959;50.2429825571358
69;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1762;N;Stn 102 Alert Bay;359 Fir St, Alert Bay, BC;359 Fir St, Alert Bay, BC;359 Fir St;Alert Bay;50.5792737;-126.923719;ambulance;-126.923736214217;50.5792788785398
70;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1763;N;Alert Bay Vol Fire Dept;359 Fir St, Alert Bay, BC;359 Fir St, Alert Bay, BC;359 Fir St;Alert Bay;50.5801206;-126.924695;fire;-126.924711780279;50.580125794296
71;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1786;N;Stn 311 Enderby;715 3rd Ave, Enderby, BC;715 3rd Ave, Enderby, BC;715 3rd Ave;Enderby;50.546434;-119.141319;ambulance;-119.141334527732;50.5464401122191
72;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1801;N;Kamloops Fire Dept Hall 1;1205 Summit Dr, Kamloops, BC;1205 Summit Dr, Kamloops, BC;1205 Summit Dr;Kamloops;50.6668522;-120.351034;fire;-120.351049662931;50.6668581831091
